Query	Subject	% Similarity	E Value	Length
TC_RS02020	CPn0191	65.44	9e-31	570
TC_RS02025	CPn0189	66.99	2e-60	818
TC_RS02030	CPn0188	69.43	1.9999999999999994e-79	759
TC_RS02035	CPn0187	67.71	5.0000000000000005e-22	288
TC_RS02040	CPn0712	88.89	0.008	27
TC_RS02045	CPn0127	85.71	0.081	28
TC_RS02050	CPn0271	80.65	1e-09	62
TC_RS02055	CPn0925	91.3	0.062	23
TC_RS02060	CPn0269	65.67	1e-23	466
TC_RS02065	CPn0197	76.14	6e-11	88
TC_RS02070	CPn0217	68.0	0.004	100
TC_RS02075	CPn0260	68.75	0.12	112
TC_RS02080	CPnt10	100.0	5.9999999999999997e-33	73
TC_RS02085	CPnt09	97.59	1e-35	83
TC_RS02090	CPn0255	80.0	1e-05	50
TC_RS02095	CPn0785	94.74	0.75	19
TC_RS02100	CPn0252	88.89	0.018000000000000002	27
TC_RS02105	CPn0148	71.49	9.999999999999998e-130	919
TC_RS02110	CPn0149	64.68	1.9999999999999996e-63	1362
TC_RS02115	CPn0648	80.0	0.32	40
TC_RS02120	CPn0151	68.68	2e-42	463
TC_RS02125	CPn0152	65.15	0.0001	241
TC_RS02130	CPn0689	94.44	0.59	18
TC_RS02130	CPn0681	84.0	0.59	25
TC_RS02135	CPn0250	88.61	2.9999999999999995e-54	158
TC_RS02140	CPn0249	64.82	9e-22	722
TC_RS02145	CPn0248	67.57	9.999999999999999e-23	333
TC_RS02150	CPn0176	65.28	6.999999999999999e-13	337
TC_RS02155	CPn0258	100.0	0.069	18
TC_RS02160	CPn1015	91.3	0.09699999999999999	23
TC_RS02160	CPn0542	81.82	0.09699999999999999	33
TC_RS02160	CPn0307	95.24	0.09699999999999999	21
TC_RS02160	CPn0154	100.0	0.09699999999999999	18
TC_RS02165	CPn0553	82.76	1.1	29
